Question,Category,Steps,Resolution,Support_Team
Email is not working,Software,"1. Check internet connection. 2. Restart Email. 3. Refresh the mailbox. 4. Check email account settings. 5. Restart the computer.","If the issue continues after these steps, the email application needs further investigation.","Application Support"
Outlook is not opening,Software,"1. Close Outlook completely. 2. Check Task Manager for Outlook. 3. End the Outlook process if running. 4. Restart Outlook. 5. Restart the computer.","If Outlook still does not open, reinstall or repair the application.","Application Support"
Emails are not sending,Software,"1. Check internet connection. 2. Verify recipient email address. 3. Check Outbox. 4. Check mailbox storage. 5. Restart Email.","If emails are still stuck in Outbox, contact Application Support.","Application Support"
Emails are not receiving,Software,"1. Check internet connection. 2. Refresh the mailbox. 3. Check mailbox storage. 4. Check spam or junk folder. 5. Verify email account settings.","If incoming emails are still not received, contact Application Support.","Application Support"
Email client is not syncing,Software,"1. Check internet connection. 2. Refresh the mailbox. 3. Restart the email application. 4. Check synchronization settings. 5. Restart the computer.","If synchronization still fails, contact Application Support.","Application Support"
VPN is not connecting,Network,"1. Check internet connection. 2. Verify VPN username and password. 3. Restart VPN application. 4. Check VPN connection settings. 5. Try connecting again.","If VPN still does not connect, the Network Team should investigate the connection.","Network Team"
VPN connection keeps dropping,Network,"1. Check network stability. 2. Restart the VPN client. 3. Check Wi-Fi or Ethernet connection. 4. Disconnect and reconnect VPN. 5. Restart the computer.","If the VPN continues to disconnect, contact the Network Team.","Network Team"
Unable to access VPN,Network,"1. Check internet connection. 2. Verify VPN credentials. 3. Check VPN configuration. 4. Restart VPN client. 5. Try connecting again.","If access is still unavailable, contact the Network Team.","Network Team"
Laptop is not turning on,Hardware,"1. Connect the charger. 2. Check the power cable. 3. Check the charging indicator. 4. Hold the power button for a few seconds. 5. Try turning the laptop on again.","If the laptop still does not turn on, contact Desktop Support.","Desktop Support"
Laptop is running very slow,Hardware,"1. Close unnecessary applications. 2. Restart the laptop. 3. Check Task Manager. 4. Check available storage. 5. Disable unnecessary startup applications.","If the laptop remains slow, contact Desktop Support.","Desktop Support"
Laptop screen is not working,Hardware,"1. Check charger connection. 2. Increase screen brightness. 3. Disconnect external devices. 4. Restart the laptop. 5. Check whether the power indicator is working.","If the screen remains blank, contact Desktop Support.","Desktop Support"
Password reset required,Access,"1. Open the password reset option. 2. Enter your username. 3. Verify your identity. 4. Create a new password. 5. Log in again using the new password.","If password reset does not work, contact the Access Team.","Access Team"
Account is locked,Access,"1. Wait for the account lock period. 2. Try logging in again. 3. Do not repeatedly enter incorrect passwords. 4. Use the account unlock option if available.","If the account remains locked, contact the Access Team.","Access Team"
Forgot my password,Access,"1. Open the password recovery page. 2. Enter your registered username. 3. Complete identity verification. 4. Create a new password. 5. Log in again.","If password recovery fails, contact the Access Team.","Access Team"
Antivirus detected a threat,Security,"1. Do not open the suspicious file. 2. Disconnect from the network if required. 3. Run a full antivirus scan. 4. Quarantine or remove the detected threat. 5. Restart the computer.","If the threat remains detected, immediately contact the Security Team.","Security Team"
Suspicious activity detected,Security,"1. Do not interact with suspicious files or links. 2. Disconnect the affected device if necessary. 3. Run a security scan. 4. Record the alert details. 5. Report the incident.","If suspicious activity continues, contact the Security Team immediately.","Security Team"
Phishing email received,Security,"1. Do not click any links. 2. Do not open attachments. 3. Do not reply to the sender. 4. Report the email as phishing. 5. Delete the suspicious email.","If you clicked a suspicious link or entered credentials, contact the Security Team immediately.","Security Team"
